,GT,winner,point_est,std,recovered,n_sig_better,nc_low,nc_high,above_nc,dif_from_nc_sig,sub-01_data_rdm_oe_rel,sub-02_data_rdm_oe_rel,sub-03_data_rdm_oe_rel,sub-04_data_rdm_oe_rel,sub-05_data_rdm_oe_rel,sub-01_GT_roi_size,sub-02_GT_roi_size,sub-03_GT_roi_size,sub-04_GT_roi_size,sub-05_GT_roi_size,comparison_method,pattern_subset,prec_type,snr_rel,perm_num,n_runs
0,V1_left,IT_right,0.17564874627395896,0.17738201107463814,0,0,-0.05815095598262672,0.40280030412616863,1,,,,,,,169,137,181,217,157,cosine,5,instance-based,0.1,1,2
1,V1_left,PHA_left,-0.02637401254232616,0.11009203775712328,0,0,-0.11183819201435474,0.37986885288958594,1,0.9729534240459587,,,,,,169,137,181,217,157,cosine,10,instance-based,0.1,1,2
2,V1_left,IT_right,-0.016040941357295686,0.07671495547226827,0,0,0.07723795640998868,0.47702391136185995,0,0.5632603767035156,,,,,,169,137,181,217,157,cosine,20,instance-based,0.1,1,2
3,V1_left,PHA_left,0.002965534316745284,0.05619635370807858,0,0,-0.04327802329172307,0.42599467209697073,1,0.5687149544475465,,,,,,169,137,181,217,157,cosine,30,instance-based,0.1,1,2
4,V1_left,IT_left,-0.02348230672688265,0.04796141734114914,0,0,0.028710829716703145,0.45936634182458513,0,0.53496244650719,,,,,,169,137,181,217,157,cosine,50,instance-based,0.1,1,2
5,V1_left,MT+MST_right,0.3905070306610813,0.1307073621810307,0,0,0.2796333545672676,0.5364994751703995,1,,0.0008117762551505622,-0.02639603032615579,-0.0772320817232552,-0.029615424049793074,0.017948812906834453,169,137,181,217,157,cosine,5,instance-based,0.1,1,4
6,V1_left,MT+MST_right,0.1128533574947573,0.11039986082379152,0,0,-0.17744919230960038,0.36345804650063357,1,0.06028138663371929,0.0008117762551505622,-0.02639603032615579,-0.0772320817232552,-0.029615424049793074,0.017948812906834453,169,137,181,217,157,cosine,10,instance-based,0.1,1,4
7,V1_left,IT_left,0.08053576707580239,0.07491509377178984,0,0,0.015569152371624345,0.4509929680259213,1,0.9606073087869302,0.0008117762551505622,-0.02639603032615579,-0.0772320817232552,-0.029615424049793074,0.017948812906834453,169,137,181,217,157,cosine,20,instance-based,0.1,1,4
8,V1_left,V1_left,0.029703009795310382,0.07299360442940928,1,0,-0.05032360883909192,0.4226158106673649,1,0.2802689417920887,0.0008117762551505622,-0.02639603032615579,-0.0772320817232552,-0.029615424049793074,0.017948812906834453,169,137,181,217,157,cosine,30,instance-based,0.1,1,4
9,V1_left,V1_left,0.13844269891457828,0.05577660816658535,1,0,0.023535216578378253,0.45662651240491936,1,7.1084634698515e-06,0.0008117762551505622,-0.02639603032615579,-0.0772320817232552,-0.029615424049793074,0.017948812906834453,169,137,181,217,157,cosine,50,instance-based,0.1,1,4
10,V1_left,IT_left,0.17250780139787425,0.20815615341263333,0,0,0.1770781359689298,0.5112514714168765,0,,-0.010277777233409727,-0.01761932498645473,-0.04551878678974068,-0.015313526317112308,0.01455924349401219,169,137,181,217,157,cosine,5,instance-based,0.1,1,8
11,V1_left,V1_left,0.2894567059135319,0.10604517728683156,1,0,0.013581994558760862,0.44335149326650286,1,,-0.010277777233409727,-0.01761932498645473,-0.04551878678974068,-0.015313526317112308,0.01455924349401219,169,137,181,217,157,cosine,10,instance-based,0.1,1,8
12,V1_left,V2_right,0.15137542516594224,0.086874362310625,0,0,0.01655335933026707,0.4481966144779265,1,0.1294855287843213,-0.010277777233409727,-0.01761932498645473,-0.04551878678974068,-0.015313526317112308,0.01455924349401219,169,137,181,217,157,cosine,20,instance-based,0.1,1,8
13,V1_left,VMV_right,0.08014941564174896,0.05981313630526712,0,0,-0.01622036101103449,0.43788484637770636,1,0.17675949006066416,-0.010277777233409727,-0.01761932498645473,-0.04551878678974068,-0.015313526317112308,0.01455924349401219,169,137,181,217,157,cosine,30,instance-based,0.1,1,8
14,V1_left,V1_left,0.10073387679013131,0.0601451215931986,1,0,0.018596601217042798,0.45455042042857385,1,0.1378314218107628,-0.010277777233409727,-0.01761932498645473,-0.04551878678974068,-0.015313526317112308,0.01455924349401219,169,137,181,217,157,cosine,50,instance-based,0.1,1,8
15,V1_left,VMV_left,-0.014972359163951059,0.09408768578953942,0,0,-0.06260049115158918,0.4097575997549627,1,,0.11627570341487202,-0.09946968115564307,0.06538297364053715,-0.0015399966373928731,0.017278179454156894,169,137,181,217,157,cosine,5,instance-based,0.1,1,16
16,V1_left,V2_left,0.2774830068528373,0.16046205646371717,0,0,0.10197790372848181,0.4833445722357573,1,0.15777593087820962,0.11627570341487202,-0.09946968115564307,0.06538297364053715,-0.0015399966373928731,0.017278179454156894,169,137,181,217,157,cosine,10,instance-based,0.1,1,16
17,V1_left,VVC_left,0.19187560456027325,0.10193777799543634,0,0,0.14394655076128623,0.509122513716979,1,0.9567407134769512,0.11627570341487202,-0.09946968115564307,0.06538297364053715,-0.0015399966373928731,0.017278179454156894,169,137,181,217,157,cosine,20,instance-based,0.1,1,16
18,V1_left,V3_left,0.030848727204349235,0.0774118248055879,0,0,0.0072428144912717336,0.44872086327506977,1,0.894132291390592,0.11627570341487202,-0.09946968115564307,0.06538297364053715,-0.0015399966373928731,0.017278179454156894,169,137,181,217,157,cosine,30,instance-based,0.1,1,16
19,V1_left,V3_left,0.08557268344308826,0.06507137706026642,0,0,0.05513147527596466,0.4703597497152887,1,0.7469935747344967,0.11627570341487202,-0.09946968115564307,0.06538297364053715,-0.0015399966373928731,0.017278179454156894,169,137,181,217,157,cosine,50,instance-based,0.1,1,16
20,V1_left,VMV_right,0.2676486281836834,0.11376244865306419,0,0,-0.05261064444872319,0.3759940215728849,1,,0.13408045398821086,-0.13475422247828112,0.13201836963592292,-0.062266988132273784,-0.1358734869366264,169,137,181,217,157,cosine,5,instance-based,0.1,1,32
