,GT,winner,point_est,std,recovered,n_sig_better,nc_low,nc_high,above_nc,dif_from_nc_sig,sub-01_data_rdm_oe_rel,sub-02_data_rdm_oe_rel,sub-03_data_rdm_oe_rel,sub-04_data_rdm_oe_rel,sub-05_data_rdm_oe_rel,sub-01_GT_roi_size,sub-02_GT_roi_size,sub-03_GT_roi_size,sub-04_GT_roi_size,sub-05_GT_roi_size,pattern_subset,pattern_subset_type,prec_type,snr_rel,perm_num,n_runs
0,V1_left_mean,V1_left_mean,0.26623615879160345,0.13048642724065326,1,0,-0.26390048286978296,0.3018059914412349,1,,,,,,,169,137,181,217,157,5,serial,instance-based,0.5,2,2
1,V1_left_mean,V1_left_mean,0.4486963964249613,0.1389391567155595,1,0,0.22009230372311758,0.4711617673908457,1,,,,,,,169,137,181,217,157,5,random,instance-based,0.5,2,2
2,V1_left_mean,V1_left_mean,0.35374208874159574,0.06512472896695116,1,0,-0.1535887410048758,0.36930684284798126,1,,,,,,,169,137,181,217,157,10,serial,instance-based,0.5,2,2
3,V1_left_mean,V1_left_mean,0.42421668901743015,0.06126101096232986,1,0,-0.0009410490952278216,0.4417859767062672,1,,,,,,,169,137,181,217,157,10,random,instance-based,0.5,2,2
4,V1_left_mean,V1_left_mean,0.4001910443248123,0.027320238569597134,1,19,-0.08157668469999421,0.40899514684502936,1,,,,,,,169,137,181,217,157,25,serial,instance-based,0.5,2,2
5,V1_left_mean,V1_left_mean,0.43080829067851917,0.03232187442147226,1,19,-0.015125940037787538,0.4373895502221222,1,,,,,,,169,137,181,217,157,25,random,instance-based,0.5,2,2
6,V1_left_mean,V1_left_mean,0.4409822929205265,0.01920301553403529,1,19,-0.00031896235852723763,0.44614685440146584,1,,,,,,,169,137,181,217,157,50,serial,instance-based,0.5,2,2
7,V1_left_mean,V1_left_mean,0.25818225858361876,0.12776727726271594,1,0,-0.2007210250710011,0.2875432246830414,1,,-0.014481784590806806,0.07369077212593744,0.04867456400034376,-0.014628484806602001,0.015219763059627823,169,137,181,217,157,5,serial,instance-based,0.5,2,4
8,V1_left_mean,V1_left_mean,0.31556924627027894,0.0763875889704536,1,0,-0.1372253478963602,0.3223660892514664,1,,-0.014481784590806806,0.07369077212593744,0.04867456400034376,-0.014628484806602001,0.015219763059627823,169,137,181,217,157,5,random,instance-based,0.5,2,4
9,V1_left_mean,V1_left_mean,0.41798533878787314,0.058700375399935494,1,0,-0.025222335963388673,0.4264419502645219,1,,-0.014481784590806806,0.07369077212593744,0.04867456400034376,-0.014628484806602001,0.015219763059627823,169,137,181,217,157,10,serial,instance-based,0.5,2,4
10,V1_left_mean,V1_left_mean,0.38879857848093385,0.07449225084154545,1,0,-0.09284077163150381,0.3999313042452631,1,,-0.014481784590806806,0.07369077212593744,0.04867456400034376,-0.014628484806602001,0.015219763059627823,169,137,181,217,157,10,random,instance-based,0.5,2,4
11,V1_left_mean,V1_left_mean,0.43448914961968377,0.036371986411795114,1,19,-0.013603041359697268,0.4394489179282905,1,,-0.014481784590806806,0.07369077212593744,0.04867456400034376,-0.014628484806602001,0.015219763059627823,169,137,181,217,157,25,serial,instance-based,0.5,2,4
12,V1_left_mean,V1_left_mean,0.46063256663138075,0.035204568093865046,1,19,0.049917592014596786,0.4677329386350054,1,,-0.014481784590806806,0.07369077212593744,0.04867456400034376,-0.014628484806602001,0.015219763059627823,169,137,181,217,157,25,random,instance-based,0.5,2,4
13,V1_left_mean,V1_left_mean,0.45928428139729743,0.023265371599250743,1,19,0.03362159526011555,0.46175099242069134,1,,-0.014481784590806806,0.07369077212593744,0.04867456400034376,-0.014628484806602001,0.015219763059627823,169,137,181,217,157,50,serial,instance-based,0.5,2,4
14,V1_left_mean,V1_left_mean,0.46507355572235043,0.22529668618232018,1,0,0.1462403113730476,0.4807320245402046,1,,0.1121157796948266,-0.08211708572987413,0.0858862217072906,0.24134279515752166,-0.05242198996102816,169,137,181,217,157,5,serial,instance-based,0.5,2,8
