,GT,winner,point_est,std,recovered,n_sig_better,nc_low,nc_high,above_nc,dif_from_nc_sig,sub-01_data_rdm_oe_rel,sub-02_data_rdm_oe_rel,sub-03_data_rdm_oe_rel,sub-04_data_rdm_oe_rel,sub-05_data_rdm_oe_rel,sub-01_GT_roi_size,sub-02_GT_roi_size,sub-03_GT_roi_size,sub-04_GT_roi_size,sub-05_GT_roi_size,pattern_subset,pattern_subset_type,prec_type,snr_rel,perm_num,n_runs
0,V1_left_mean,V1_left_mean,0.6672325638387334,0.18084607985192702,1,0,0.5234566100811805,0.6721830517222022,1,,,,,,,169,137,181,217,157,5,serial,instance-based,0.5,1,2
1,V1_left_mean,V1_left_mean,0.521011306510613,0.21598682126648375,1,0,0.21423806714557941,0.5308491365480202,1,,,,,,,169,137,181,217,157,5,random,instance-based,0.5,1,2
2,V1_left_mean,V1_left_mean,0.598774630697045,0.08077766407609524,1,0,0.33359673408953233,0.6030305272403758,1,,,,,,,169,137,181,217,157,10,serial,instance-based,0.5,1,2
3,V1_left_mean,V1_left_mean,0.5190025560047211,0.06762664593755992,1,0,0.19010646985309268,0.5241962925927525,1,,,,,,,169,137,181,217,157,10,random,instance-based,0.5,1,2
4,V1_left_mean,V1_left_mean,0.49909485311384505,0.035852031444846874,1,19,0.12724751082122482,0.5037605263658929,1,,,,,,,169,137,181,217,157,25,serial,instance-based,0.5,1,2
5,V1_left_mean,V1_left_mean,0.5104289267539575,0.03378813498139564,1,19,0.14673959113945445,0.5134828881929016,1,,,,,,,169,137,181,217,157,25,random,instance-based,0.5,1,2
6,V1_left_mean,V1_left_mean,0.46905181437017657,0.022366497879521226,1,19,0.05649633155850286,0.4719041878322955,1,,,,,,,169,137,181,217,157,50,serial,instance-based,0.5,1,2
7,V1_left_mean,V1_left_mean,0.21851330416990253,0.2783636280439465,1,0,-0.2335157321954589,0.3366135280862222,1,,0.16450593902867058,-0.024653063160556626,-0.1706074951248445,0.0453391384214288,0.03353003543750769,169,137,181,217,157,5,serial,instance-based,0.5,1,4
8,V1_left_mean,V1_left_mean,0.6554094027239924,0.1327781470370673,1,0,0.4987480075152928,0.6696723618381251,1,,0.16450593902867058,-0.024653063160556626,-0.1706074951248445,0.0453391384214288,0.03353003543750769,169,137,181,217,157,5,random,instance-based,0.5,1,4
9,V1_left_mean,V1_left_mean,0.47085915648573445,0.06749595444424915,1,0,0.10460731516030586,0.4786910241405277,1,,0.16450593902867058,-0.024653063160556626,-0.1706074951248445,0.0453391384214288,0.03353003543750769,169,137,181,217,157,10,serial,instance-based,0.5,1,4
10,V1_left_mean,V1_left_mean,0.4460968701897777,0.07051034495590952,1,0,0.06225651016812854,0.45934520848387117,1,,0.16450593902867058,-0.024653063160556626,-0.1706074951248445,0.0453391384214288,0.03353003543750769,169,137,181,217,157,10,random,instance-based,0.5,1,4
11,V1_left_mean,V1_left_mean,0.4819656828930876,0.03399561259300495,1,19,0.08924199476721577,0.48517383182756113,1,,0.16450593902867058,-0.024653063160556626,-0.1706074951248445,0.0453391384214288,0.03353003543750769,169,137,181,217,157,25,serial,instance-based,0.5,1,4
12,V1_left_mean,V1_left_mean,0.4518783766589023,0.03979870841787246,1,19,0.018412372099225808,0.4539452151081789,1,,0.16450593902867058,-0.024653063160556626,-0.1706074951248445,0.0453391384214288,0.03353003543750769,169,137,181,217,157,25,random,instance-based,0.5,1,4
13,V1_left_mean,V1_left_mean,0.49288481904022224,0.025806022271029634,1,19,0.10757743261724127,0.4947853573230319,1,,0.16450593902867058,-0.024653063160556626,-0.1706074951248445,0.0453391384214288,0.03353003543750769,169,137,181,217,157,50,serial,instance-based,0.5,1,4
14,V1_left_mean,V1_left_mean,0.2415516151051092,0.1089275095305789,1,0,-0.3249917512323313,0.2569613104484731,1,,0.026498545101078647,0.2774693055188346,-0.20718361650742917,0.1225013385634179,0.14414998871227852,169,137,181,217,157,5,serial,instance-based,0.5,1,8
15,V1_left_mean,V1_left_mean,0.4287220148385924,0.09542998799478826,1,0,0.22888335404802135,0.45994960240883503,1,,0.026498545101078647,0.2774693055188346,-0.20718361650742917,0.1225013385634179,0.14414998871227852,169,137,181,217,157,5,random,instance-based,0.5,1,8
16,V1_left_mean,V1_left_mean,0.44909942179232026,0.05639073014530647,1,0,0.07219988045688881,0.4572102782847959,1,,0.026498545101078647,0.2774693055188346,-0.20718361650742917,0.1225013385634179,0.14414998871227852,169,137,181,217,157,10,serial,instance-based,0.5,1,8
17,V1_left_mean,V1_left_mean,0.5255306149660163,0.07668087054079362,1,0,0.2060791354083989,0.531626685915682,1,,0.026498545101078647,0.2774693055188346,-0.20718361650742917,0.1225013385634179,0.14414998871227852,169,137,181,217,157,10,random,instance-based,0.5,1,8
18,V1_left_mean,V1_left_mean,0.5022044405892251,0.028825915795730767,1,19,0.1346800001609213,0.5043443994067541,1,,0.026498545101078647,0.2774693055188346,-0.20718361650742917,0.1225013385634179,0.14414998871227852,169,137,181,217,157,25,serial,instance-based,0.5,1,8
19,V1_left_mean,V1_left_mean,0.5270665098900986,0.04625928649536593,1,19,0.18002055566184083,0.5290263741295285,1,,0.026498545101078647,0.2774693055188346,-0.20718361650742917,0.1225013385634179,0.14414998871227852,169,137,181,217,157,25,random,instance-based,0.5,1,8
20,V1_left_mean,V1_left_mean,0.5666330307533388,0.02581231344504909,1,19,0.25588482660945105,0.5675169983646242,1,,0.026498545101078647,0.2774693055188346,-0.20718361650742917,0.1225013385634179,0.14414998871227852,169,137,181,217,157,50,serial,instance-based,0.5,1,8
21,V1_left_mean,V1_left_mean,0.4109753251974359,0.17881906587960011,1,0,0.031155837058188283,0.42771164387384397,1,,0.10018791925714776,0.2770639849687225,0.27541004951230774,0.2395011018305609,0.0643489636664412,169,137,181,217,157,5,serial,instance-based,0.5,1,16
22,V1_left_mean,V1_left_mean,0.5310974962485002,0.17054887233761962,1,0,0.2956387712610397,0.5539429091976956,1,,0.10018791925714776,0.2770639849687225,0.27541004951230774,0.2395011018305609,0.0643489636664412,169,137,181,217,157,5,random,instance-based,0.5,1,16
23,V1_left_mean,V1_left_mean,0.549290187282167,0.06568982327078043,1,0,0.2440615732797008,0.5559779447315678,1,,0.10018791925714776,0.2770639849687225,0.27541004951230774,0.2395011018305609,0.0643489636664412,169,137,181,217,157,10,serial,instance-based,0.5,1,16
24,V1_left_mean,V1_left_mean,0.7423182085283282,0.08525844087905274,1,2,0.5859904349052144,0.7455305434273433,1,,0.10018791925714776,0.2770639849687225,0.27541004951230774,0.2395011018305609,0.0643489636664412,169,137,181,217,157,10,random,instance-based,0.5,1,16
25,V1_left_mean,V1_left_mean,0.5960814639655855,0.04232612098559107,1,19,0.3163380982176537,0.5989374369153628,1,,0.10018791925714776,0.2770639849687225,0.27541004951230774,0.2395011018305609,0.0643489636664412,169,137,181,217,157,25,serial,instance-based,0.5,1,16
26,V1_left_mean,V1_left_mean,0.6758096534369502,0.06189176775111874,1,19,0.46740579358400536,0.6796769601522707,1,,0.10018791925714776,0.2770639849687225,0.27541004951230774,0.2395011018305609,0.0643489636664412,169,137,181,217,157,25,random,instance-based,0.5,1,16
27,V1_left_mean,V1_left_mean,0.6815392489815831,0.03189907666788565,1,19,0.4760642477150809,0.6848138119703951,1,,0.10018791925714776,0.2770639849687225,0.27541004951230774,0.2395011018305609,0.0643489636664412,169,137,181,217,157,50,serial,instance-based,0.5,1,16
28,V1_left_mean,V1_left_mean,0.7248708212266873,0.2787294582163542,1,0,0.49187685301993095,0.7278721297277304,1,,0.4684811507027883,0.46591606637328814,0.5020610315119639,0.6018954687340673,0.11832566371004583,169,137,181,217,157,5,serial,instance-based,0.5,1,32
29,V1_left_mean,V1_left_mean,0.5964966009321986,0.17025872522544103,1,0,0.4263641384371664,0.6216326769823306,1,,0.4684811507027883,0.46591606637328814,0.5020610315119639,0.6018954687340673,0.11832566371004583,169,137,181,217,157,5,random,instance-based,0.5,1,32
30,V1_left_mean,V1_left_mean,0.7020241811017671,0.08734004399069943,1,0,0.5194322716036908,0.7079355276377914,1,,0.4684811507027883,0.46591606637328814,0.5020610315119639,0.6018954687340673,0.11832566371004583,169,137,181,217,157,10,serial,instance-based,0.5,1,32
31,V1_left_mean,V1_left_mean,0.7877240068500483,0.10469549914833365,1,0,0.6653067604864836,0.7941926709944659,1,,0.4684811507027883,0.46591606637328814,0.5020610315119639,0.6018954687340673,0.11832566371004583,169,137,181,217,157,10,random,instance-based,0.5,1,32
32,V1_left_mean,V1_left_mean,0.7411004571731108,0.032643316997367965,1,19,0.5851023957147277,0.7457862432371639,1,,0.4684811507027883,0.46591606637328814,0.5020610315119639,0.6018954687340673,0.11832566371004583,169,137,181,217,157,25,serial,instance-based,0.5,1,32
33,V1_left_mean,V1_left_mean,0.7794216743233005,0.03217756740103642,1,19,0.6533363181654206,0.7850147175906557,1,,0.4684811507027883,0.46591606637328814,0.5020610315119639,0.6018954687340673,0.11832566371004583,169,137,181,217,157,25,random,instance-based,0.5,1,32
34,V1_left_mean,V1_left_mean,0.7900432367106961,0.02167570131260643,1,19,0.6693555241366055,0.7946016401234671,1,,0.4684811507027883,0.46591606637328814,0.5020610315119639,0.6018954687340673,0.11832566371004583,169,137,181,217,157,50,serial,instance-based,0.5,1,32
35,V1_right_mean,V1_right_mean,0.5856354717128992,0.12626490805360555,1,0,0.40361753572946163,0.6051702115904074,1,,,,,,,181,166,186,203,190,5,serial,instance-based,0.5,1,2
36,V1_right_mean,V1_right_mean,0.20392549985723182,0.11175536767841994,1,0,-0.3751164679978325,0.27784583703875554,1,,,,,,,181,166,186,203,190,5,random,instance-based,0.5,1,2
37,V1_right_mean,V1_right_mean,0.550717750743611,0.049537498461542824,1,0,0.2632484003116749,0.5563027373293178,1,,,,,,,181,166,186,203,190,10,serial,instance-based,0.5,1,2
38,V1_right_mean,V1_right_mean,0.4188478487174491,0.07016271861757413,1,0,-0.004967195114262599,0.42757709498834595,1,,,,,,,181,166,186,203,190,10,random,instance-based,0.5,1,2
39,V1_right_mean,V1_right_mean,0.43152375125959586,0.031348347533794896,1,19,-0.012775951597490969,0.4391059991141643,1,,,,,,,181,166,186,203,190,25,serial,instance-based,0.5,1,2
40,V1_right_mean,V1_right_mean,0.47183216835354935,0.04681347220850361,1,19,0.07159762771405173,0.476179068760352,1,,,,,,,181,166,186,203,190,25,random,instance-based,0.5,1,2
41,V1_right_mean,V1_right_mean,0.4696267931354131,0.030624355003236146,1,19,0.060195784509683985,0.4737120433765403,1,,,,,,,181,166,186,203,190,50,serial,instance-based,0.5,1,2
42,V1_right_mean,V1_right_mean,0.33897715634832104,0.19264607388288682,1,0,-0.12862570927906583,0.37570443364672756,1,,0.0868239487630854,-0.10953787634441495,0.04626376544929522,0.08175100782405602,0.09167031016273133,181,166,186,203,190,5,serial,instance-based,0.5,1,4
43,V1_right_mean,V1_right_mean,0.276176072744021,0.20986928270449093,1,0,-0.1545653646019255,0.34569174708175315,1,,0.0868239487630854,-0.10953787634441495,0.04626376544929522,0.08175100782405602,0.09167031016273133,181,166,186,203,190,5,random,instance-based,0.5,1,4
44,V1_right_mean,V1_right_mean,0.5362532985875542,0.07673740632745568,1,0,0.21473259013663362,0.5415620523680592,1,,0.0868239487630854,-0.10953787634441495,0.04626376544929522,0.08175100782405602,0.09167031016273133,181,166,186,203,190,10,serial,instance-based,0.5,1,4
45,V1_right_mean,V1_right_mean,0.446129123863646,0.06383258641541165,1,0,0.059769713698471234,0.4523949399572218,1,,0.0868239487630854,-0.10953787634441495,0.04626376544929522,0.08175100782405602,0.09167031016273133,181,166,186,203,190,10,random,instance-based,0.5,1,4
46,V1_right_mean,V1_right_mean,0.4883740333572774,0.02936424418427446,1,19,0.10866946622948495,0.4910105145988852,1,,0.0868239487630854,-0.10953787634441495,0.04626376544929522,0.08175100782405602,0.09167031016273133,181,166,186,203,190,25,serial,instance-based,0.5,1,4
47,V1_right_mean,V1_right_mean,0.48678437997070717,0.037192374003173836,1,19,0.0957266588644852,0.4883252384910023,1,,0.0868239487630854,-0.10953787634441495,0.04626376544929522,0.08175100782405602,0.09167031016273133,181,166,186,203,190,25,random,instance-based,0.5,1,4
48,V1_right_mean,V1_right_mean,0.4866902319031772,0.02530818652111813,1,19,0.09251318484819311,0.4876808231957268,1,,0.0868239487630854,-0.10953787634441495,0.04626376544929522,0.08175100782405602,0.09167031016273133,181,166,186,203,190,50,serial,instance-based,0.5,1,4
49,V1_right_mean,V1_right_mean,0.24368647843515073,0.10422304686614252,1,0,-0.328267312198011,0.2874630402411761,1,,0.034439755789030656,0.03490727755362736,-0.0047926643773253275,0.12100761823528715,0.07231831179044065,181,166,186,203,190,5,serial,instance-based,0.5,1,8
50,V1_right_mean,V1_right_mean,0.34789289711216875,0.0830584243332979,1,0,-0.01946726782968865,0.35566095844389245,1,,0.034439755789030656,0.03490727755362736,-0.0047926643773253275,0.12100761823528715,0.07231831179044065,181,166,186,203,190,5,random,instance-based,0.5,1,8
51,V1_right_mean,V1_right_mean,0.4521799936491285,0.09172225573160904,1,0,0.04379332403397328,0.46079164183225374,1,,0.034439755789030656,0.03490727755362736,-0.0047926643773253275,0.12100761823528715,0.07231831179044065,181,166,186,203,190,10,serial,instance-based,0.5,1,8
52,V1_right_mean,V1_right_mean,0.5501971648193961,0.08543642378345567,1,0,0.24961657226693285,0.5573242027799609,1,,0.034439755789030656,0.03490727755362736,-0.0047926643773253275,0.12100761823528715,0.07231831179044065,181,166,186,203,190,10,random,instance-based,0.5,1,8
53,V1_right_mean,V1_right_mean,0.5254287942069821,0.03468815402458892,1,19,0.17592414839707035,0.5274057224983983,1,,0.034439755789030656,0.03490727755362736,-0.0047926643773253275,0.12100761823528715,0.07231831179044065,181,166,186,203,190,25,serial,instance-based,0.5,1,8
