,GT,winner,point_est,std,recovered,n_sig_better,nc_low,nc_high,above_nc,dif_from_nc_sig,sub-01_data_rdm_oe_rel,sub-02_data_rdm_oe_rel,sub-03_data_rdm_oe_rel,sub-04_data_rdm_oe_rel,sub-05_data_rdm_oe_rel,sub-01_GT_roi_size,sub-02_GT_roi_size,sub-03_GT_roi_size,sub-04_GT_roi_size,sub-05_GT_roi_size,comparison_method,pattern_subset,prec_type,snr_rel,perm_num,n_runs
0,V1_left,IT_left,0.2365441565582753,0.22416919968534557,0,0,0.13985682753837814,0.48867700310853973,1,,,,,,,169,137,181,217,157,cosine,5,instance-based,0.1,1,2
1,V1_left,V2_left,0.19073836015365028,0.11922975288768167,0,0,0.09032849016695356,0.47264034083497897,1,0.3141653653842731,,,,,,169,137,181,217,157,cosine,10,instance-based,0.1,1,2
2,V1_left,IT_left,0.04575073337700687,0.07442467896122945,0,0,-0.1564185153116775,0.37323794718922304,1,0.0005726458645143317,,,,,,169,137,181,217,157,cosine,20,instance-based,0.1,1,2
3,V1_left,PHA_right,0.025116950752104704,0.058521645233978764,0,0,-0.03993622077481287,0.4279624612830611,1,0.20950108155751224,,,,,,169,137,181,217,157,cosine,30,instance-based,0.1,1,2
4,V1_left,IT_left,-0.02172460155474265,0.04684551718903842,0,0,0.025085653129446377,0.4578494367071074,0,0.5876230104139011,,,,,,169,137,181,217,157,cosine,50,instance-based,0.1,1,2
5,V1_left,IT_right,0.025824590874412644,0.14793243317842728,0,0,0.08311018216652165,0.4298928250282129,0,,0.0008117762551505622,-0.02639603032615579,-0.0772320817232552,-0.029615424049793074,0.017948812906834453,169,137,181,217,157,cosine,5,instance-based,0.1,1,4
6,V1_left,VVC_right,0.20271589661808828,0.14750668291178862,0,0,0.12871281885073751,0.5005249372160168,1,0.43695144214843307,0.0008117762551505622,-0.02639603032615579,-0.0772320817232552,-0.029615424049793074,0.017948812906834453,169,137,181,217,157,cosine,10,instance-based,0.1,1,4
7,V1_left,PHA_right,0.16567806741424076,0.08434853692524442,0,0,0.06608838981939387,0.4712071971964451,1,0.13325247670915652,0.0008117762551505622,-0.02639603032615579,-0.0772320817232552,-0.029615424049793074,0.017948812906834453,169,137,181,217,157,cosine,20,instance-based,0.1,1,4
8,V1_left,V1_left,0.17367011326294152,0.07403383671170512,1,0,0.07517295645614197,0.47915362271206574,1,0.021864329891347234,0.0008117762551505622,-0.02639603032615579,-0.0772320817232552,-0.029615424049793074,0.017948812906834453,169,137,181,217,157,cosine,30,instance-based,0.1,1,4
9,V1_left,V1_left,0.1411148343525526,0.057471043117310466,1,0,0.02606967976293953,0.4577358583178346,1,8.696616871328722e-05,0.0008117762551505622,-0.02639603032615579,-0.0772320817232552,-0.029615424049793074,0.017948812906834453,169,137,181,217,157,cosine,50,instance-based,0.1,1,4
10,V1_left,V3_left,0.30113307196139544,0.09226365118247294,0,0,-0.057710686089027734,0.3549198471910362,1,,-0.010277777233409727,-0.01761932498645473,-0.04551878678974068,-0.015313526317112308,0.01455924349401219,169,137,181,217,157,cosine,5,instance-based,0.1,1,8
11,V1_left,MT+MST_left,0.03883404588576475,0.11875222839948847,0,0,0.09405723174147884,0.47893496122311435,0,0.3892518524502573,-0.010277777233409727,-0.01761932498645473,-0.04551878678974068,-0.015313526317112308,0.01455924349401219,169,137,181,217,157,cosine,10,instance-based,0.1,1,8
12,V1_left,PHA_left,0.07724646608935219,0.08188741537335792,0,0,0.1025253634607498,0.49170793903954757,0,0.5335435776344561,-0.010277777233409727,-0.01761932498645473,-0.04551878678974068,-0.015313526317112308,0.01455924349401219,169,137,181,217,157,cosine,20,instance-based,0.1,1,8
13,V1_left,V4_left,0.0583472563494658,0.07224364543911321,0,0,-0.016586675549507685,0.43782337270316957,1,0.37440723198307047,-0.010277777233409727,-0.01761932498645473,-0.04551878678974068,-0.015313526317112308,0.01455924349401219,169,137,181,217,157,cosine,30,instance-based,0.1,1,8
14,V1_left,V1_left,0.10027042413755288,0.059801191642490516,1,0,0.016337974487256313,0.45354694704227805,1,0.12050811203731215,-0.010277777233409727,-0.01761932498645473,-0.04551878678974068,-0.015313526317112308,0.01455924349401219,169,137,181,217,157,cosine,50,instance-based,0.1,1,8
15,V1_left,IT_right,0.050332999545171946,0.12850128242636144,0,0,-0.3754316209428801,0.25562480199667365,1,,0.11627570341487202,-0.09946968115564307,0.06538297364053715,-0.0015399966373928731,0.017278179454156894,169,137,181,217,157,cosine,5,instance-based,0.1,1,16
16,V1_left,V2_left,0.14985445139566295,0.14771557301017893,0,0,0.0028270388201407214,0.4370412831527461,1,0.4620568612068632,0.11627570341487202,-0.09946968115564307,0.06538297364053715,-0.0015399966373928731,0.017278179454156894,169,137,181,217,157,cosine,10,instance-based,0.1,1,16
17,V1_left,V2_left,0.08681411483506211,0.11655955373470682,0,0,0.13813246821173045,0.5077527742439436,0,0.5627456964878488,0.11627570341487202,-0.09946968115564307,0.06538297364053715,-0.0015399966373928731,0.017278179454156894,169,137,181,217,157,cosine,20,instance-based,0.1,1,16
18,V1_left,V4_left,0.11661499535177777,0.09169969527591906,0,0,0.055474937423368544,0.4697558008464204,1,0.4234141930234592,0.11627570341487202,-0.09946968115564307,0.06538297364053715,-0.0015399966373928731,0.017278179454156894,169,137,181,217,157,cosine,30,instance-based,0.1,1,16
19,V1_left,V3_left,0.08713469509002468,0.06292743968364273,0,0,0.05215850463681349,0.46896451515823123,1,0.6548494736489863,0.11627570341487202,-0.09946968115564307,0.06538297364053715,-0.0015399966373928731,0.017278179454156894,169,137,181,217,157,cosine,50,instance-based,0.1,1,16
20,V1_left,V3_left,0.3718844234203986,0.11228460841020184,0,0,0.11931844251723095,0.45462930872560897,1,,0.13408045398821086,-0.13475422247828112,0.13201836963592292,-0.062266988132273784,-0.1358734869366264,169,137,181,217,157,cosine,5,instance-based,0.1,1,32
21,V1_left,V4_right,0.11881979538788101,0.13709517206817307,0,0,0.005765103581643945,0.4341866999840613,1,0.6776980381263762,0.13408045398821086,-0.13475422247828112,0.13201836963592292,-0.062266988132273784,-0.1358734869366264,169,137,181,217,157,cosine,10,instance-based,0.1,1,32
22,V1_left,VVC_right,0.20309579019929935,0.13576728475159686,0,0,0.1545726494754608,0.5176842445085504,1,,0.13408045398821086,-0.13475422247828112,0.13201836963592292,-0.062266988132273784,-0.1358734869366264,169,137,181,217,157,cosine,20,instance-based,0.1,1,32
23,V1_left,V3_left,0.2288867012228292,0.09979083569861968,0,0,0.204279425004706,0.5426085146682154,1,,0.13408045398821086,-0.13475422247828112,0.13201836963592292,-0.062266988132273784,-0.1358734869366264,169,137,181,217,157,cosine,30,instance-based,0.1,1,32
24,V1_left,V3_left,0.17687245076694538,0.07037479039761672,0,0,0.10259351386608259,0.4941434090289423,1,,0.13408045398821086,-0.13475422247828112,0.13201836963592292,-0.062266988132273784,-0.1358734869366264,169,137,181,217,157,cosine,50,instance-based,0.1,1,32
25,V1_left,PHA_right,0.060036844684884086,0.29738100413461876,0,0,0.41373618391034217,0.6272855462271361,0,,,,,,,169,137,181,217,157,cosine,5,instance-based,0.1,2,2
26,V1_left,MT+MST_left,-0.035138248735742686,0.12127918509826671,0,0,-0.1423959900550353,0.3689096746970374,1,0.8942560474959964,,,,,,169,137,181,217,157,cosine,10,instance-based,0.1,2,2
27,V1_left,V1_right,0.20576597335657162,0.09599884848497071,0,0,0.15754939898733614,0.5151513852242526,1,0.46785294580554426,,,,,,169,137,181,217,157,cosine,20,instance-based,0.1,2,2
28,V1_left,V3_right,0.1309553175970508,0.07669661405847,0,0,0.0824345454585239,0.4792681687990083,1,0.4375881156935204,,,,,,169,137,181,217,157,cosine,30,instance-based,0.1,2,2
29,V1_left,V1_right,0.08953110125178675,0.06096325507011521,0,0,0.05090663872388918,0.468647793055554,1,0.4067517796498159,,,,,,169,137,181,217,157,cosine,50,instance-based,0.1,2,2
30,V1_left,MT+MST_right,0.21890243835927936,0.1684243625405195,0,0,0.11652515445519956,0.46480049889454417,1,,0.04685986203573695,-0.1697908892001774,-0.18406237649142404,0.011201825867648755,0.07222896036182593,169,137,181,217,157,cosine,5,instance-based,0.1,2,4
31,V1_left,FFC_right,0.03826852863122828,0.1053146964310197,0,0,-0.21961009674198073,0.33755289765962765,1,0.13198165279828977,0.04685986203573695,-0.1697908892001774,-0.18406237649142404,0.011201825867648755,0.07222896036182593,169,137,181,217,157,cosine,10,instance-based,0.1,2,4
32,V1_left,PHA_right,0.053622985931991864,0.09569447333173622,0,0,-0.07686906565871159,0.4090298727721834,1,0.09361921244508054,0.04685986203573695,-0.1697908892001774,-0.18406237649142404,0.011201825867648755,0.07222896036182593,169,137,181,217,157,cosine,20,instance-based,0.1,2,4
33,V1_left,IT_right,0.0777449336123217,0.07009990037706997,0,0,0.015726472861906402,0.4524190200656341,1,0.6137308799877244,0.04685986203573695,-0.1697908892001774,-0.18406237649142404,0.011201825867648755,0.07222896036182593,169,137,181,217,157,cosine,30,instance-based,0.1,2,4
34,V1_left,MT+MST_left,0.03672968398147657,0.05505352919192965,0,0,0.028083312215165558,0.4585355204048801,1,0.9503802968882762,0.04685986203573695,-0.1697908892001774,-0.18406237649142404,0.011201825867648755,0.07222896036182593,169,137,181,217,157,cosine,50,instance-based,0.1,2,4
35,V1_left,V2_left,0.11830559877778181,0.13196930137638355,0,0,-0.18963688736906034,0.3221332714887462,1,,-0.08217293656309568,-0.03983777487542298,-0.1923338762412191,0.041660611315720256,-0.03331151194650319,169,137,181,217,157,cosine,5,instance-based,0.1,2,8
36,V1_left,V1_left,0.06418753654007761,0.15399753718978684,1,0,0.030726079460110328,0.45212081610967536,1,0.8416410037662614,-0.08217293656309568,-0.03983777487542298,-0.1923338762412191,0.041660611315720256,-0.03331151194650319,169,137,181,217,157,cosine,10,instance-based,0.1,2,8
37,V1_left,FFC_left,0.15220460461348656,0.11199983450729832,0,0,0.07747496548200027,0.47724971973870006,1,0.2294996885662215,-0.08217293656309568,-0.03983777487542298,-0.1923338762412191,0.041660611315720256,-0.03331151194650319,169,137,181,217,157,cosine,20,instance-based,0.1,2,8
38,V1_left,V1_left,0.1757505945350354,0.07184942303260947,1,0,0.06862435705126516,0.47616694336119025,1,0.0008313714780434633,-0.08217293656309568,-0.03983777487542298,-0.1923338762412191,0.041660611315720256,-0.03331151194650319,169,137,181,217,157,cosine,30,instance-based,0.1,2,8
39,V1_left,V4_right,0.16467073583706113,0.06244935102920452,0,0,0.060614484909938544,0.47386234140997485,1,0.006333755763612503,-0.08217293656309568,-0.03983777487542298,-0.1923338762412191,0.041660611315720256,-0.03331151194650319,169,137,181,217,157,cosine,50,instance-based,0.1,2,8
40,V1_left,MT+MST_right,0.13131161200082853,0.06500926189338183,0,0,-0.4892092290620219,0.2407806412291181,1,,-0.0063934128429584,-0.09662920410461903,-0.09085032250612131,0.024971091509964235,0.014742824756463591,169,137,181,217,157,cosine,5,instance-based,0.1,2,16
41,V1_left,FFC_right,0.1349813658310276,0.19477263162157954,0,0,0.12351068832265918,0.4938763711098488,1,0.9303647637452632,-0.0063934128429584,-0.09662920410461903,-0.09085032250612131,0.024971091509964235,0.014742824756463591,169,137,181,217,157,cosine,10,instance-based,0.1,2,16
42,V1_left,FFC_right,0.04110376679858338,0.06849179827204165,0,0,-0.03951971327323001,0.4275429965177767,1,0.8968848280537751,-0.0063934128429584,-0.09662920410461903,-0.09085032250612131,0.024971091509964235,0.014742824756463591,169,137,181,217,157,cosine,20,instance-based,0.1,2,16
43,V1_left,FFC_left,0.1254761358898942,0.06533049244702745,0,0,0.004731268761212393,0.447670071152484,1,0.13049311757876336,-0.0063934128429584,-0.09662920410461903,-0.09085032250612131,0.024971091509964235,0.014742824756463591,169,137,181,217,157,cosine,30,instance-based,0.1,2,16
