,GT,winner,point_est,std,recovered,n_sig_better,nc_low,nc_high,above_nc,dif_from_nc_sig,sub-01_data_rdm_oe_rel,sub-02_data_rdm_oe_rel,sub-03_data_rdm_oe_rel,sub-04_data_rdm_oe_rel,sub-05_data_rdm_oe_rel,sub-01_GT_roi_size,sub-02_GT_roi_size,sub-03_GT_roi_size,sub-04_GT_roi_size,sub-05_GT_roi_size,comparison_method,pattern_subset,prec_type,snr_rel,perm_num,n_runs
0,V1_left,PHA_left,0.4419698060291614,0.15599097602570294,0,0,0.3547272885252274,0.6034014522816329,1,,,,,,,169,137,181,217,157,cosine,5,instance-based,0.1,1,2
1,V1_left,IT_left,-0.006906681825779921,0.10939873760299071,0,0,-0.1411645395775615,0.37844868260276304,1,0.8592373560783115,,,,,,169,137,181,217,157,cosine,10,instance-based,0.1,1,2
2,V1_left,IT_left,-0.013386325049191329,0.07674811829167708,0,0,0.08631549794524218,0.48341666438903497,0,0.4186996862090422,,,,,,169,137,181,217,157,cosine,20,instance-based,0.1,1,2
3,V1_left,V1_left,-0.04503476225258265,0.07671331861342882,1,0,0.0619023513355129,0.4736866711007429,0,0.45523201509467537,,,,,,169,137,181,217,157,cosine,30,instance-based,0.1,1,2
4,V1_left,IT_left,-0.025922499946296817,0.049937061010613855,0,0,0.03249417252285254,0.46112790358506506,0,0.5002122697639719,,,,,,169,137,181,217,157,cosine,50,instance-based,0.1,1,2
5,V1_left,IT_left,0.21567538920148344,0.11638196161027049,0,0,-0.1884248091076943,0.3188454928945259,1,,0.0008117762551505622,-0.02639603032615579,-0.0772320817232552,-0.029615424049793074,0.017948812906834453,169,137,181,217,157,cosine,5,instance-based,0.1,1,4
6,V1_left,IT_left,-0.005347653117107155,0.10674243094432136,0,0,-0.21197122093616902,0.3455526973742196,1,0.5059787103998912,0.0008117762551505622,-0.02639603032615579,-0.0772320817232552,-0.029615424049793074,0.017948812906834453,169,137,181,217,157,cosine,10,instance-based,0.1,1,4
7,V1_left,PHA_right,0.08784111898148274,0.06161703998534365,0,0,-0.141068549118058,0.3810247719886636,1,0.0008536211331700017,0.0008117762551505622,-0.02639603032615579,-0.0772320817232552,-0.029615424049793074,0.017948812906834453,169,137,181,217,157,cosine,20,instance-based,0.1,1,4
8,V1_left,V1_left,0.14895297233175905,0.06997724531020849,1,0,-0.03936257852007753,0.4275035803811597,1,6.653476032347783e-07,0.0008117762551505622,-0.02639603032615579,-0.0772320817232552,-0.029615424049793074,0.017948812906834453,169,137,181,217,157,cosine,30,instance-based,0.1,1,4
9,V1_left,V1_left,0.1395226186510153,0.05620643876790138,1,0,0.024591173990433254,0.45707774245529764,1,6.708934006272038e-05,0.0008117762551505622,-0.02639603032615579,-0.0772320817232552,-0.029615424049793074,0.017948812906834453,169,137,181,217,157,cosine,50,instance-based,0.1,1,4
10,V1_left,IT_left,0.009986201878088373,0.17487349930537632,0,0,-0.12083000340194802,0.3592915850265779,1,,-0.010277777233409727,-0.01761932498645473,-0.04551878678974068,-0.015313526317112308,0.01455924349401219,169,137,181,217,157,cosine,5,instance-based,0.1,1,8
11,V1_left,PHA_right,0.18931219508669375,0.1513765498256753,0,0,0.020084923301479644,0.44701495396798313,1,0.11313870319808128,-0.010277777233409727,-0.01761932498645473,-0.04551878678974068,-0.015313526317112308,0.01455924349401219,169,137,181,217,157,cosine,10,instance-based,0.1,1,8
12,V1_left,VVC_right,0.1770314156763929,0.08127992712995383,0,0,0.03585366531406635,0.4617494977372379,1,,-0.010277777233409727,-0.01761932498645473,-0.04551878678974068,-0.015313526317112308,0.01455924349401219,169,137,181,217,157,cosine,20,instance-based,0.1,1,8
13,V1_left,VMV_right,0.05284439844830324,0.05360330647678353,0,0,-0.04626614503148396,0.4243061825403644,1,0.38063251368741335,-0.010277777233409727,-0.01761932498645473,-0.04551878678974068,-0.015313526317112308,0.01455924349401219,169,137,181,217,157,cosine,30,instance-based,0.1,1,8
14,V1_left,V1_left,0.10087208476291179,0.059242000492078874,1,0,0.018905185367162965,0.4547343771023921,1,0.1192569503683425,-0.010277777233409727,-0.01761932498645473,-0.04551878678974068,-0.015313526317112308,0.01455924349401219,169,137,181,217,157,cosine,50,instance-based,0.1,1,8
15,V1_left,MT+MST_left,0.1403760007938045,0.14106334132215326,0,0,-0.12260531076178267,0.36946167959075915,1,,0.11627570341487202,-0.09946968115564307,0.06538297364053715,-0.0015399966373928731,0.017278179454156894,169,137,181,217,157,cosine,5,instance-based,0.1,1,16
16,V1_left,IT_left,0.2275939316216762,0.1189103003763898,0,0,-0.0017457400377466198,0.4362277576721515,1,,0.11627570341487202,-0.09946968115564307,0.06538297364053715,-0.0015399966373928731,0.017278179454156894,169,137,181,217,157,cosine,10,instance-based,0.1,1,16
17,V1_left,V4_left,0.16909424758291547,0.09658242003853963,0,0,0.0579156306807923,0.47068451432310937,1,0.08313041163882717,0.11627570341487202,-0.09946968115564307,0.06538297364053715,-0.0015399966373928731,0.017278179454156894,169,137,181,217,157,cosine,20,instance-based,0.1,1,16
18,V1_left,V2_right,0.08975452841894893,0.08083343758087784,0,0,0.039679456878871464,0.46267928583953305,1,0.25150986689173016,0.11627570341487202,-0.09946968115564307,0.06538297364053715,-0.0015399966373928731,0.017278179454156894,169,137,181,217,157,cosine,30,instance-based,0.1,1,16
19,V1_left,V3_left,0.08813345791223161,0.06725257283647965,0,0,0.05724067996005965,0.47135273620487744,1,0.7395931988906665,0.11627570341487202,-0.09946968115564307,0.06538297364053715,-0.0015399966373928731,0.017278179454156894,169,137,181,217,157,cosine,50,instance-based,0.1,1,16
20,V1_left,PHA_right,0.2637044340753566,0.16384845825802116,0,0,0.3398017894118962,0.556988914855769,0,,0.13408045398821086,-0.13475422247828112,0.13201836963592292,-0.062266988132273784,-0.1358734869366264,169,137,181,217,157,cosine,5,instance-based,0.1,1,32
21,V1_left,PHA_right,-0.0017222513206248717,0.1082690673995277,0,0,-0.1188670720084757,0.38643973590489156,1,0.7743485484445318,0.13408045398821086,-0.13475422247828112,0.13201836963592292,-0.062266988132273784,-0.1358734869366264,169,137,181,217,157,cosine,10,instance-based,0.1,1,32
22,V1_left,V3_left,0.20662023173925267,0.12780645953300726,0,0,0.16179530331792671,0.5213568112627981,1,,0.13408045398821086,-0.13475422247828112,0.13201836963592292,-0.062266988132273784,-0.1358734869366264,169,137,181,217,157,cosine,20,instance-based,0.1,1,32
23,V1_left,V3_left,0.23068039007766472,0.10502583379478829,0,0,0.25243721615448383,0.5660840186660753,0,,0.13408045398821086,-0.13475422247828112,0.13201836963592292,-0.062266988132273784,-0.1358734869366264,169,137,181,217,157,cosine,30,instance-based,0.1,1,32
24,V1_left,V3_left,0.17575901149929607,0.06975086640229221,0,0,0.10386077393853267,0.4947341624871134,1,,0.13408045398821086,-0.13475422247828112,0.13201836963592292,-0.062266988132273784,-0.1358734869366264,169,137,181,217,157,cosine,50,instance-based,0.1,1,32
25,V1_left,IT_right,0.15150017816139327,0.10327580991587186,0,0,-0.2070392170959701,0.30876922171807897,1,,,,,,,169,137,181,217,157,cosine,5,instance-based,0.1,2,2
26,V1_left,V3_left,0.29625522980975166,0.11760289627388049,0,0,0.16329968475851608,0.5095203988161396,1,0.200779107749401,,,,,,169,137,181,217,157,cosine,10,instance-based,0.1,2,2
27,V1_left,V1_right,0.3000542260923345,0.09814234083866323,0,0,0.2657893050942044,0.5695262937857971,1,0.8059157689935674,,,,,,169,137,181,217,157,cosine,20,instance-based,0.1,2,2
