,GT,winner,point_est,std,recovered,n_sig_better,nc_low,nc_high,above_nc,dif_from_nc_sig,sub-01_data_rdm_oe_rel,sub-02_data_rdm_oe_rel,sub-03_data_rdm_oe_rel,sub-04_data_rdm_oe_rel,sub-05_data_rdm_oe_rel,sub-01_GT_roi_size,sub-02_GT_roi_size,sub-03_GT_roi_size,sub-04_GT_roi_size,sub-05_GT_roi_size,pattern_subset,pattern_subset_type,prec_type,snr_rel,perm_num,n_runs
0,V1_left_mean,V1_left_mean,0.25934828792084286,0.125909644708858,1,0,-0.28248974575772906,0.2956474100962567,1,,,,,,,169,137,181,217,157,5,serial,instance-based,0.5,2,2
1,V1_left_mean,V1_left_mean,0.548039540868934,0.12764811629068282,1,0,0.3653839470539689,0.5535504321281604,1,,,,,,,169,137,181,217,157,5,random,instance-based,0.5,2,2
2,V1_left_mean,V1_left_mean,0.3565740655831259,0.06412996958631924,1,0,-0.1464379708797722,0.3725512106549678,1,,,,,,,169,137,181,217,157,10,serial,instance-based,0.5,2,2
3,V1_left_mean,V1_left_mean,0.46906860003128914,0.0764497791997725,1,0,0.07941978981500458,0.4766034411154802,1,,,,,,,169,137,181,217,157,10,random,instance-based,0.5,2,2
4,V1_left_mean,V1_left_mean,0.40210872812978465,0.028082091161416273,1,19,-0.07721603704415918,0.41103256550876494,1,,,,,,,169,137,181,217,157,25,serial,instance-based,0.5,2,2
5,V1_left_mean,V1_left_mean,0.4205789126887924,0.024478366091241016,1,19,-0.03539804712653308,0.4279440277609031,1,,,,,,,169,137,181,217,157,25,random,instance-based,0.5,2,2
6,V1_left_mean,V1_left_mean,0.4420575192791027,0.01902326866519713,1,19,0.002219911440342729,0.44729954617425893,1,,,,,,,169,137,181,217,157,50,serial,instance-based,0.5,2,2
7,V1_left_mean,V1_left_mean,0.25508249525490484,0.1354486816160281,1,0,-0.20577742497873766,0.2883011542664227,1,,-0.014481784590806806,0.07369077212593744,0.04867456400034376,-0.014628484806602001,0.015219763059627823,169,137,181,217,157,5,serial,instance-based,0.5,2,4
8,V1_left_mean,V1_left_mean,0.571100870094262,0.12251438943565564,1,0,0.37873953367923663,0.5785558690219542,1,,-0.014481784590806806,0.07369077212593744,0.04867456400034376,-0.014628484806602001,0.015219763059627823,169,137,181,217,157,5,random,instance-based,0.5,2,4
9,V1_left_mean,V1_left_mean,0.41548621424764454,0.05656642397911691,1,0,-0.03214342076996125,0.42350711440358924,1,,-0.014481784590806806,0.07369077212593744,0.04867456400034376,-0.014628484806602001,0.015219763059627823,169,137,181,217,157,10,serial,instance-based,0.5,2,4
10,V1_left_mean,V1_left_mean,0.5108127300151292,0.10934661558444611,1,0,0.17447707060476148,0.5260989459616511,1,,-0.014481784590806806,0.07369077212593744,0.04867456400034376,-0.014628484806602001,0.015219763059627823,169,137,181,217,157,10,random,instance-based,0.5,2,4
11,V1_left_mean,V1_left_mean,0.43420832552749455,0.03576774213556458,1,19,-0.01416596445840056,0.4392883980528324,1,,-0.014481784590806806,0.07369077212593744,0.04867456400034376,-0.014628484806602001,0.015219763059627823,169,137,181,217,157,25,serial,instance-based,0.5,2,4
12,V1_left_mean,V1_left_mean,0.4458870619522674,0.031664805982545924,1,19,0.008618747111535563,0.4497617071836625,1,,-0.014481784590806806,0.07369077212593744,0.04867456400034376,-0.014628484806602001,0.015219763059627823,169,137,181,217,157,25,random,instance-based,0.5,2,4
13,V1_left_mean,V1_left_mean,0.45766577879963516,0.023947754551353187,1,19,0.029855753728632087,0.4601197545887592,1,,-0.014481784590806806,0.07369077212593744,0.04867456400034376,-0.014628484806602001,0.015219763059627823,169,137,181,217,157,50,serial,instance-based,0.5,2,4
14,V1_left_mean,V1_left_mean,0.47321292521760067,0.22800119604387642,1,0,0.14959555218122206,0.4884012249428534,1,,0.1121157796948266,-0.08211708572987413,0.0858862217072906,0.24134279515752166,-0.05242198996102816,169,137,181,217,157,5,serial,instance-based,0.5,2,8
15,V1_left_mean,V1_left_mean,0.2733508694602869,0.1518296731700353,1,0,-0.06842264170991004,0.3240017136465216,1,,0.1121157796948266,-0.08211708572987413,0.0858862217072906,0.24134279515752166,-0.05242198996102816,169,137,181,217,157,5,random,instance-based,0.5,2,8
16,V1_left_mean,V1_left_mean,0.4306639528396303,0.06530535861258244,1,0,0.026841246080621346,0.4437344424532316,1,,0.1121157796948266,-0.08211708572987413,0.0858862217072906,0.24134279515752166,-0.05242198996102816,169,137,181,217,157,10,serial,instance-based,0.5,2,8
17,V1_left_mean,V1_left_mean,0.45139373578304276,0.06568504983131172,1,0,0.05843165587732783,0.46002152154811693,1,,0.1121157796948266,-0.08211708572987413,0.0858862217072906,0.24134279515752166,-0.05242198996102816,169,137,181,217,157,10,random,instance-based,0.5,2,8
18,V1_left_mean,V1_left_mean,0.48301847890895694,0.03513781939200356,1,19,0.09161368028164915,0.4859780197674394,1,,0.1121157796948266,-0.08211708572987413,0.0858862217072906,0.24134279515752166,-0.05242198996102816,169,137,181,217,157,25,serial,instance-based,0.5,2,8
19,V1_left_mean,V1_left_mean,0.6075776145507208,0.03714556451886937,1,19,0.33784988861844456,0.6085811998837111,1,,0.1121157796948266,-0.08211708572987413,0.0858862217072906,0.24134279515752166,-0.05242198996102816,169,137,181,217,157,25,random,instance-based,0.5,2,8
20,V1_left_mean,V1_left_mean,0.564201451381836,0.023670735748809953,1,19,0.25309067878101216,0.5655091130166713,1,,0.1121157796948266,-0.08211708572987413,0.0858862217072906,0.24134279515752166,-0.05242198996102816,169,137,181,217,157,50,serial,instance-based,0.5,2,8
21,V1_left_mean,V1_left_mean,0.4957503100229518,0.11035549538219094,1,0,0.28980795376001456,0.5059899899179084,1,,0.1865877812282972,0.190004462998408,0.30277392722448765,0.34712051048872317,0.07714344081983125,169,137,181,217,157,5,serial,instance-based,0.5,2,16
22,V1_left_mean,V1_left_mean,0.19517597526205113,0.10614389877745622,1,0,-0.39567679422678315,0.23732577206998956,1,,0.1865877812282972,0.190004462998408,0.30277392722448765,0.34712051048872317,0.07714344081983125,169,137,181,217,157,5,random,instance-based,0.5,2,16
23,V1_left_mean,V1_left_mean,0.43591093716475754,0.05739967061275622,1,0,0.031566843065910295,0.4438765118730771,1,,0.1865877812282972,0.190004462998408,0.30277392722448765,0.34712051048872317,0.07714344081983125,169,137,181,217,157,10,serial,instance-based,0.5,2,16
24,V1_left_mean,V1_left_mean,0.48175172162303653,0.05936932502263721,1,0,0.11677514647911251,0.49119841310554163,1,,0.1865877812282972,0.190004462998408,0.30277392722448765,0.34712051048872317,0.07714344081983125,169,137,181,217,157,10,random,instance-based,0.5,2,16
25,V1_left_mean,V1_left_mean,0.5899098713209334,0.030785794974227395,1,19,0.3084968674343446,0.5933534329384892,1,,0.1865877812282972,0.190004462998408,0.30277392722448765,0.34712051048872317,0.07714344081983125,169,137,181,217,157,25,serial,instance-based,0.5,2,16
26,V1_left_mean,V1_left_mean,0.7030779295752733,0.039406353617389214,1,19,0.5187651478077278,0.7074247861717845,1,,0.1865877812282972,0.190004462998408,0.30277392722448765,0.34712051048872317,0.07714344081983125,169,137,181,217,157,25,random,instance-based,0.5,2,16
27,V1_left_mean,V1_left_mean,0.6752235690717846,0.026395361371830777,1,19,0.46703440021014636,0.6785010077909275,1,,0.1865877812282972,0.190004462998408,0.30277392722448765,0.34712051048872317,0.07714344081983125,169,137,181,217,157,50,serial,instance-based,0.5,2,16
28,V1_left_mean,V1_left_mean,0.5666107202435363,0.22035866927926973,1,0,0.39824159500357076,0.6039752163240169,1,,0.4748625888947771,0.4071622259768518,0.4646861735826513,0.6648630544326409,0.02508867411246646,169,137,181,217,157,5,serial,instance-based,0.5,2,32
29,V1_left_mean,V1_left_mean,0.8280738182520835,0.1378369359627844,1,0,0.7533636480122031,0.837449987808109,1,,0.4748625888947771,0.4071622259768518,0.4646861735826513,0.6648630544326409,0.02508867411246646,169,137,181,217,157,5,random,instance-based,0.5,2,32
30,V1_left_mean,V1_left_mean,0.585730995189644,0.0541392781923312,1,12,0.319665458001386,0.592183367600262,1,,0.4748625888947771,0.4071622259768518,0.4646861735826513,0.6648630544326409,0.02508867411246646,169,137,181,217,157,10,serial,instance-based,0.5,2,32
31,V1_left_mean,V1_left_mean,0.7088589253929983,0.082468573666518,1,0,0.5586101492915345,0.7203882452875067,1,,0.4748625888947771,0.4071622259768518,0.4646861735826513,0.6648630544326409,0.02508867411246646,169,137,181,217,157,10,random,instance-based,0.5,2,32
32,V1_left_mean,V1_left_mean,0.7169239660326608,0.03908707041876557,1,19,0.5416301289719699,0.721110515328216,1,,0.4748625888947771,0.4071622259768518,0.4646861735826513,0.6648630544326409,0.02508867411246646,169,137,181,217,157,25,serial,instance-based,0.5,2,32
33,V1_left_mean,V1_left_mean,0.7658309649420255,0.03602961133139117,1,19,0.6262070652172018,0.7694725275070508,1,,0.4748625888947771,0.4071622259768518,0.4646861735826513,0.6648630544326409,0.02508867411246646,169,137,181,217,157,25,random,instance-based,0.5,2,32
34,V1_left_mean,V1_left_mean,0.7897763239439611,0.02540172821549308,1,19,0.6673325844738269,0.7941842399112832,1,,0.4748625888947771,0.4071622259768518,0.4646861735826513,0.6648630544326409,0.02508867411246646,169,137,181,217,157,50,serial,instance-based,0.5,2,32
35,V1_right_mean,V1_right_mean,0.4834692364529935,0.12637387826357502,1,0,0.26697940102821743,0.4978563056056609,1,,,,,,,181,166,186,203,190,5,serial,instance-based,0.5,2,2
36,V1_right_mean,V1_right_mean,0.45455753626299,0.22542738018942693,1,0,0.16818078657456723,0.4975600998527086,1,,,,,,,181,166,186,203,190,5,random,instance-based,0.5,2,2
37,V1_right_mean,V1_right_mean,0.4576617233422096,0.07697252542782354,1,0,0.05760509457531028,0.46593313798236125,1,,,,,,,181,166,186,203,190,10,serial,instance-based,0.5,2,2
38,V1_right_mean,V1_right_mean,0.5678923496189557,0.07082923162680325,1,0,0.28426515370121924,0.5764346028897235,1,,,,,,,181,166,186,203,190,10,random,instance-based,0.5,2,2
39,V1_right_mean,V1_right_mean,0.43428813886546486,0.033286026243297025,1,19,-0.014077325686660855,0.43821763886243814,1,,,,,,,181,166,186,203,190,25,serial,instance-based,0.5,2,2
40,V1_right_mean,V1_right_mean,0.47017768124553505,0.03911557792921338,1,19,0.0671282154578484,0.47662237054679313,1,,,,,,,181,166,186,203,190,25,random,instance-based,0.5,2,2
41,V1_right_mean,V1_right_mean,0.481526971212195,0.02472734016181318,1,19,0.08685534975231893,0.48595386848337485,1,,,,,,,181,166,186,203,190,50,serial,instance-based,0.5,2,2
42,V1_right_mean,V1_right_mean,0.5171518903406277,0.09936136261523985,1,0,0.35156293017452017,0.5639272821962041,1,,-0.10045887892866007,0.0010214798275455207,-0.11692222287516199,0.05578769334098854,-0.15292442979513224,181,166,186,203,190,5,serial,instance-based,0.5,2,4
43,V1_right_mean,V1_right_mean,0.4085117103862884,0.2203563385871106,1,0,-0.0662671121013285,0.4212686396076565,1,,-0.10045887892866007,0.0010214798275455207,-0.11692222287516199,0.05578769334098854,-0.15292442979513224,181,166,186,203,190,5,random,instance-based,0.5,2,4
44,V1_right_mean,V1_right_mean,0.39112605359953984,0.07809519400412672,1,0,-0.08645985990533823,0.3985265614697922,1,,-0.10045887892866007,0.0010214798275455207,-0.11692222287516199,0.05578769334098854,-0.15292442979513224,181,166,186,203,190,10,serial,instance-based,0.5,2,4
45,V1_right_mean,V1_right_mean,0.5048833310621993,0.06367150014588957,1,0,0.15729497811374574,0.5092827789384845,1,,-0.10045887892866007,0.0010214798275455207,-0.11692222287516199,0.05578769334098854,-0.15292442979513224,181,166,186,203,190,10,random,instance-based,0.5,2,4
46,V1_right_mean,V1_right_mean,0.45678466803755224,0.03081842174417712,1,19,0.03459366644982332,0.4589747847188351,1,,-0.10045887892866007,0.0010214798275455207,-0.11692222287516199,0.05578769334098854,-0.15292442979513224,181,166,186,203,190,25,serial,instance-based,0.5,2,4
47,V1_right_mean,V1_right_mean,0.4673868039805965,0.035569123781628104,1,19,0.053109889505190695,0.4696409514058456,1,,-0.10045887892866007,0.0010214798275455207,-0.11692222287516199,0.05578769334098854,-0.15292442979513224,181,166,186,203,190,25,random,instance-based,0.5,2,4
48,V1_right_mean,V1_right_mean,0.4865221736988124,0.024359276742539675,1,19,0.08920411854780264,0.4875875152502614,1,,-0.10045887892866007,0.0010214798275455207,-0.11692222287516199,0.05578769334098854,-0.15292442979513224,181,166,186,203,190,50,serial,instance-based,0.5,2,4
49,V1_right_mean,V1_right_mean,0.4087397970366879,0.189542709811772,1,0,-0.009491096421657935,0.42084389491682583,1,,0.034112672166476815,-0.022027338115340273,0.04367190423641938,0.01264147863497078,-0.07149756097015605,181,166,186,203,190,5,serial,instance-based,0.5,2,8
50,V1_right_mean,V1_right_mean,0.5791449133705604,0.09238265608674706,1,0,0.37265288607117775,0.5851473126892079,1,,0.034112672166476815,-0.022027338115340273,0.04367190423641938,0.01264147863497078,-0.07149756097015605,181,166,186,203,190,5,random,instance-based,0.5,2,8
