,GT,winner,point_est,std,recovered,n_sig_better,nc_low,nc_high,above_nc,dif_from_nc_sig,sub-01_data_rdm_oe_rel,sub-02_data_rdm_oe_rel,sub-03_data_rdm_oe_rel,sub-04_data_rdm_oe_rel,sub-05_data_rdm_oe_rel,sub-01_GT_roi_size,sub-02_GT_roi_size,sub-03_GT_roi_size,sub-04_GT_roi_size,sub-05_GT_roi_size,comparison_method,pattern_subset,prec_type,snr_rel,perm_num,n_runs
0,V1_left,PHA_right,0.2501728756776334,0.09870369151403835,0,0,-0.21026376586231915,0.30312054455757287,1,,,,,,,169,137,181,217,157,cosine,5,instance-based,0.1,1,2
1,V1_left,VVC_right,0.21492081158058715,0.15447739268206462,0,0,0.1601877898865764,0.5107007866241928,1,,,,,,,169,137,181,217,157,cosine,10,instance-based,0.1,1,2
2,V1_left,PHA_right,0.017737222866317032,0.08287257773800814,0,0,-0.08409878476354558,0.4070937169356914,1,0.7824877208495529,,,,,,169,137,181,217,157,cosine,20,instance-based,0.1,1,2
3,V1_left,PHA_right,-0.001036403541704666,0.04835021299052132,0,0,0.008397957380679692,0.449366261499038,0,0.694899185113004,,,,,,169,137,181,217,157,cosine,30,instance-based,0.1,1,2
4,V1_left,IT_left,-0.024644223606087205,0.04932913374779941,0,0,0.027877481450894016,0.4590334394605375,0,0.5318314130212132,,,,,,169,137,181,217,157,cosine,50,instance-based,0.1,1,2
5,V1_left,V3_left,0.42886622582673134,0.1280446848156917,0,0,0.1454523149770645,0.4775053014582932,1,,0.0008117762551505622,-0.02639603032615579,-0.0772320817232552,-0.029615424049793074,0.017948812906834453,169,137,181,217,157,cosine,5,instance-based,0.1,1,4
6,V1_left,IT_left,0.0948987564500841,0.14115862605641555,0,0,-0.04833796709194061,0.4188156144663986,1,0.6209941146023572,0.0008117762551505622,-0.02639603032615579,-0.0772320817232552,-0.029615424049793074,0.017948812906834453,169,137,181,217,157,cosine,10,instance-based,0.1,1,4
7,V1_left,V1_right,0.1678841547335936,0.08409425067932237,0,0,0.05157324870697734,0.46739529237617605,1,0.010141809333969354,0.0008117762551505622,-0.02639603032615579,-0.0772320817232552,-0.029615424049793074,0.017948812906834453,169,137,181,217,157,cosine,20,instance-based,0.1,1,4
8,V1_left,PHA_right,0.081018471228503,0.05425094099627407,0,0,-0.012994750062887443,0.4398446054278533,1,0.21586491822974563,0.0008117762551505622,-0.02639603032615579,-0.0772320817232552,-0.029615424049793074,0.017948812906834453,169,137,181,217,157,cosine,30,instance-based,0.1,1,4
9,V1_left,V1_left,0.13813111131761988,0.05592368184307843,1,0,0.02439671434977434,0.4570234598354194,1,2.5746236844259585e-05,0.0008117762551505622,-0.02639603032615579,-0.0772320817232552,-0.029615424049793074,0.017948812906834453,169,137,181,217,157,cosine,50,instance-based,0.1,1,4
10,V1_left,PHA_left,-0.051935134641871564,0.17275253141189104,0,0,-0.26927841121223417,0.3028561203971317,1,,-0.010277777233409727,-0.01761932498645473,-0.04551878678974068,-0.015313526317112308,0.01455924349401219,169,137,181,217,157,cosine,5,instance-based,0.1,1,8
11,V1_left,PHA_left,0.04851426099442718,0.13427147609356077,0,0,-0.10172817625678056,0.39865788045124806,1,0.17002045480165995,-0.010277777233409727,-0.01761932498645473,-0.04551878678974068,-0.015313526317112308,0.01455924349401219,169,137,181,217,157,cosine,10,instance-based,0.1,1,8
