,GT,winner,point_est,std,recovered,n_sig_better,nc_low,nc_high,above_nc,dif_from_nc_sig,sub-01_data_rdm_oe_rel,sub-02_data_rdm_oe_rel,sub-03_data_rdm_oe_rel,sub-04_data_rdm_oe_rel,sub-05_data_rdm_oe_rel,sub-01_GT_roi_size,sub-02_GT_roi_size,sub-03_GT_roi_size,sub-04_GT_roi_size,sub-05_GT_roi_size,pattern_subset,pattern_subset_type,prec_type,snr_rel,perm_num,n_runs
0,V1_left_mean,V1_left_mean,0.6633133118110155,0.18103342813168985,1,0,0.5172152771275557,0.6685256348519684,1,,,,,,,169,137,181,217,157,5,serial,instance-based,0.5,1,2
1,V1_left_mean,V1_left_mean,0.4906913370343958,0.08585588496815276,1,0,0.31738052367183067,0.4946351525406532,1,,,,,,,169,137,181,217,157,5,random,instance-based,0.5,1,2
2,V1_left_mean,V1_left_mean,0.5955099097278173,0.08498299549530905,1,0,0.3269519786098981,0.6000799043633547,1,,,,,,,169,137,181,217,157,10,serial,instance-based,0.5,1,2
3,V1_left_mean,V1_left_mean,0.5515505391600137,0.09195159827227728,1,0,0.2497794455582221,0.5571526374817704,1,,,,,,,169,137,181,217,157,10,random,instance-based,0.5,1,2
4,V1_left_mean,V1_left_mean,0.5002425790038274,0.036597095044804365,1,19,0.13000548916129834,0.5049811067821499,1,,,,,,,169,137,181,217,157,25,serial,instance-based,0.5,1,2
5,V1_left_mean,V1_left_mean,0.4684536538147046,0.03081414555716656,1,19,0.06378188776380275,0.4729299147193683,1,,,,,,,169,137,181,217,157,25,random,instance-based,0.5,1,2
6,V1_left_mean,V1_left_mean,0.46879635702965144,0.022276203301241124,1,19,0.056082726014873005,0.47169996448571666,1,,,,,,,169,137,181,217,157,50,serial,instance-based,0.5,1,2
7,V1_left_mean,V1_left_mean,0.21465862753279613,0.2756003554760811,1,0,-0.2373691697283905,0.33361814896235564,1,,0.16450593902867058,-0.024653063160556626,-0.1706074951248445,0.0453391384214288,0.03353003543750769,169,137,181,217,157,5,serial,instance-based,0.5,1,4
8,V1_left_mean,V1_left_mean,0.25440206076871663,0.11796680090845786,1,0,-0.33815744528561476,0.2889599931133708,1,,0.16450593902867058,-0.024653063160556626,-0.1706074951248445,0.0453391384214288,0.03353003543750769,169,137,181,217,157,5,random,instance-based,0.5,1,4
9,V1_left_mean,V1_left_mean,0.4697559775381617,0.07187138140563529,1,0,0.10421797613019845,0.47799715901107764,1,,0.16450593902867058,-0.024653063160556626,-0.1706074951248445,0.0453391384214288,0.03353003543750769,169,137,181,217,157,10,serial,instance-based,0.5,1,4
10,V1_left_mean,V1_left_mean,0.49351825610007327,0.09620059049312055,1,0,0.1376731644324593,0.5034183004318964,1,,0.16450593902867058,-0.024653063160556626,-0.1706074951248445,0.0453391384214288,0.03353003543750769,169,137,181,217,157,10,random,instance-based,0.5,1,4
11,V1_left_mean,V1_left_mean,0.4830150886791319,0.033751061094168554,1,19,0.09206294711010572,0.4862591070238278,1,,0.16450593902867058,-0.024653063160556626,-0.1706074951248445,0.0453391384214288,0.03353003543750769,169,137,181,217,157,25,serial,instance-based,0.5,1,4
12,V1_left_mean,V1_left_mean,0.4868500084806378,0.039851533206027724,1,19,0.10099327171351095,0.49079362533259935,1,,0.16450593902867058,-0.024653063160556626,-0.1706074951248445,0.0453391384214288,0.03353003543750769,169,137,181,217,157,25,random,instance-based,0.5,1,4
13,V1_left_mean,V1_left_mean,0.4945892925703305,0.026381057083804543,1,19,0.11129039458217514,0.49652835662498,1,,0.16450593902867058,-0.024653063160556626,-0.1706074951248445,0.0453391384214288,0.03353003543750769,169,137,181,217,157,50,serial,instance-based,0.5,1,4
14,V1_left_mean,V1_left_mean,0.23905590365037746,0.1114324071115683,1,0,-0.3422369592161281,0.2533348702558371,1,,0.026498545101078647,0.2774693055188346,-0.20718361650742917,0.1225013385634179,0.14414998871227852,169,137,181,217,157,5,serial,instance-based,0.5,1,8
15,V1_left_mean,V1_left_mean,0.49173179859397137,0.14834254297021682,1,0,0.3142858416848542,0.5569204174231001,1,,0.026498545101078647,0.2774693055188346,-0.20718361650742917,0.1225013385634179,0.14414998871227852,169,137,181,217,157,5,random,instance-based,0.5,1,8
16,V1_left_mean,V1_left_mean,0.44952784651079486,0.051962137149241985,1,0,0.07354720819416044,0.4573628208572827,1,,0.026498545101078647,0.2774693055188346,-0.20718361650742917,0.1225013385634179,0.14414998871227852,169,137,181,217,157,10,serial,instance-based,0.5,1,8
17,V1_left_mean,V1_left_mean,0.578704469795992,0.06641549406731158,1,1,0.30743290987667077,0.5846050645589825,1,,0.026498545101078647,0.2774693055188346,-0.20718361650742917,0.1225013385634179,0.14414998871227852,169,137,181,217,157,10,random,instance-based,0.5,1,8
18,V1_left_mean,V1_left_mean,0.5037092870574874,0.02846030948833983,1,19,0.1382649621144713,0.5058862082815299,1,,0.026498545101078647,0.2774693055188346,-0.20718361650742917,0.1225013385634179,0.14414998871227852,169,137,181,217,157,25,serial,instance-based,0.5,1,8
19,V1_left_mean,V1_left_mean,0.5885679063724313,0.04228882455728022,1,19,0.30123968728994516,0.5894628958114477,1,,0.026498545101078647,0.2774693055188346,-0.20718361650742917,0.1225013385634179,0.14414998871227852,169,137,181,217,157,25,random,instance-based,0.5,1,8
20,V1_left_mean,V1_left_mean,0.5691050211755263,0.027062376360533356,1,19,0.26077925043680444,0.5699890089521656,1,,0.026498545101078647,0.2774693055188346,-0.20718361650742917,0.1225013385634179,0.14414998871227852,169,137,181,217,157,50,serial,instance-based,0.5,1,8
21,V1_left_mean,V1_left_mean,0.39268755005885514,0.18222288590137864,1,0,-0.011692190292070812,0.410776073477312,1,,0.10018791925714776,0.2770639849687225,0.27541004951230774,0.2395011018305609,0.0643489636664412,169,137,181,217,157,5,serial,instance-based,0.5,1,16
22,V1_left_mean,V1_left_mean,0.642060881011352,0.12797650130400084,1,0,0.48902513430703104,0.6563438912455546,1,,0.10018791925714776,0.2770639849687225,0.27541004951230774,0.2395011018305609,0.0643489636664412,169,137,181,217,157,5,random,instance-based,0.5,1,16
23,V1_left_mean,V1_left_mean,0.5516909063508534,0.06270269154067569,1,0,0.24926673534873817,0.5579903160929056,1,,0.10018791925714776,0.2770639849687225,0.27541004951230774,0.2395011018305609,0.0643489636664412,169,137,181,217,157,10,serial,instance-based,0.5,1,16
